filename	ontology_term
G96626_1x_BH7_01_31227.mzXML	tea/infusion
G96626_1x_BH7_01_31227.mzXML	vegetable/herb
G96626_1x_BH7_01_31227.mzXML	plant
G96628_1x_BE8_01_31201.mzXML	Matcha tea
G96628_1x_BE8_01_31201.mzXML	tea
G96628_1x_BE8_01_31201.mzXML	tea/infusion
G96628_1x_BE8_01_31201.mzXML	vegetable/herb
G96628_1x_BE8_01_31201.mzXML	plant
G96630_1x_BB9_01_31168.mzXML	Matcha tea
G96630_1x_BB9_01_31168.mzXML	tea
G96630_1x_BB9_01_31168.mzXML	tea/infusion
G96630_1x_BB9_01_31168.mzXML	vegetable/herb
G96630_1x_BB9_01_31168.mzXML	plant
G96631_1x_BD8_01_31191.mzXML	Matcha tea
G96631_1x_BD8_01_31191.mzXML	tea
G96631_1x_BD8_01_31191.mzXML	tea/infusion
G96631_1x_BD8_01_31191.mzXML	vegetable/herb
G96631_1x_BD8_01_31191.mzXML	plant
G96632_1x_BH3_01_31223.mzXML	Matcha tea
G96632_1x_BH3_01_31223.mzXML	tea
G96632_1x_BH3_01_31223.mzXML	tea/infusion
G96632_1x_BH3_01_31223.mzXML	vegetable/herb
G96632_1x_BH3_01_31223.mzXML	plant
G96633_1x_BB5_01_31164.mzXML	Matcha tea
G96633_1x_BB5_01_31164.mzXML	tea
G96633_1x_BB5_01_31164.mzXML	tea/infusion
G96633_1x_BB5_01_31164.mzXML	vegetable/herb
G96633_1x_BB5_01_31164.mzXML	plant
75069_5x_RG10_01_17491.mzXML	cilantro
75069_5x_RG10_01_17491.mzXML	herb/spice
75069_5x_RG10_01_17491.mzXML	vegetable/herb
75069_5x_RG10_01_17491.mzXML	plant
78810_1x_BF12_01_17484.mzXML	cilantro
78810_1x_BF12_01_17484.mzXML	herb/spice
78810_1x_BF12_01_17484.mzXML	vegetable/herb
78810_1x_BF12_01_17484.mzXML	plant
G75193_1x_rerun_BH10_01_17377.mzXML	cilantro
G75193_1x_rerun_BH10_01_17377.mzXML	herb/spice
G75193_1x_rerun_BH10_01_17377.mzXML	vegetable/herb
G75193_1x_rerun_BH10_01_17377.mzXML	plant
G79306_1x_RF6_01_18872.mzXML	cilantro
G79306_1x_RF6_01_18872.mzXML	herb/spice
G79306_1x_RF6_01_18872.mzXML	vegetable/herb
G79306_1x_RF6_01_18872.mzXML	plant
G83235_1x_rerun_RE12_01_20332.mzXML	red cherry tomato
G83235_1x_rerun_RE12_01_20332.mzXML	cherry tomato
G83235_1x_rerun_RE12_01_20332.mzXML	tomato
G83235_1x_rerun_RE12_01_20332.mzXML	berry
G83235_1x_rerun_RE12_01_20332.mzXML	fleshy fruit
G83235_1x_rerun_RE12_01_20332.mzXML	fruit
G83235_1x_rerun_RE12_01_20332.mzXML	plant
