filename	ontology_terminal_leaf	sample_name	description	Main.food.description	simple_complex	sample_type	sample_type_aquatic_land	sample_type_group1	sample_type_group2	sample_type_group3	sample_type_group4	sample_type_group5	sample_type_group6	sample_type_groupB1	sample_type_groupB2	sample_type_groupB3	sample_type_common	type_of_cuisine_ethnicity	common_meal_type	vegan	organic	gluten_free	gmo	homemade_homegrown	processed_method	processed_method_jps	fermented	contains_live_active_cultures	contains_live_active_cultures_specific	raw_processed	raw_pasteurized	botanical_genus	botanical_genus_species	botanical_anatomy	botanical_family	plant_color	collection_timestamp	best_by	elevation	geo_loc_name	location_sampled	latitude	longitude	origin_country	origin_state	grocerystore_restaurant_etc	Vendor_store	source_categorical	distributor_brand	ingredients_1	ingredients_2	ingredients_3	ingredients_4	ingredients_5	ingredients_6	ingredients_7	empo_1	empo_2	empo_3	additives	additives_specific	Food_coloring	Food_coloring_specific	sugar_added	sugar_refined	superfood	animal_product_substitute	animal_source	animal_source_specific	caffeinated	cheese_sample_type	cheese_part	cheese_texture	contains_chocolate	flesh_only_or_with_peel	solid_liquid	texture	tea_quality	tea_type	brand_roast_unique	project	washed_not	washed_specific	known_contamination	touch_animal_product	upc	FoodCode	ndb_number	ndb_description	packaging	packaging_specific	participant_notes	purchase_notes
G73499_1x_10ul_RA12_01_19780.mzXML	cranberry	11442.G73499	cranberry juice	Cranberry_juice_100_not_a_blend	complex	beverage	land	plant	fruit	fleshy fruit	berry	cranberry	cranberry	non-alcoholic	non-carbonated	juice	juice	not collected	beverage	yes	no	yes	not collected	no	processed	processed	no	no	not collected	processed	not applicable	not applicable	not applicable	not applicable	not collected	not applicable	6/30/17	not collected	193	USA:CA:San Diego	UCSD:Dorrestein Lab	32.842	-117.258	USA	not collected	store	not collected	store	Oceanspray	cranberry	not collected	not collected	not collected	not collected	not collected	not collected	host-associated	plant	plant-corpus	no	not applicable	not collected	not collected	yes	not collected	not applicable	no	not applicable	not applicable	no	not applicable	not applicable	not applicable	no	not applicable	liquid	not collected	not applicable	not applicable	not entered	y	not applicable	not applicable	no	no	31200203007	64105400	not collected	not collected	plastic	not collected	carrot not submerged;	none
G73500_1x_10ul_RB12_01_19796.mzXML	soda	11442.G73500	coca-cola	Soft_drink_cola_type	simple	beverage	land	plant	vegetable/herb	vegetable/herb	sugarcane	soda	soda	non-alcoholic	carbonated	soda	soda	not collected	cold beverage	yes	no	yes	not collected	no	processed	processed	no	no	not collected	processed	not applicable	not applicable	not applicable	not applicable	not collected	not applicable	6/30/17	not collected	193	USA:CA:San Diego	UCSD:Dorrestein Lab	32.842	-117.258	not collected	not collected	store	not collected	store	coca-cola company	carbonated water	high fructose corn syrup	caramel color	phosphoric acid	natural flavors	caffeine	not collected	host-associated	plant	plant-corpus	no	not applicable	yes	caramel color	yes	high fructose corn syrup	not applicable	no	not applicable	not applicable	yes	not applicable	not applicable	not applicable	no	not applicable	liquid	not collected	not applicable	not applicable	not entered	y	not applicable	not applicable	no	no	49000050103	92410310	not collected	not collected	plastic	not collected	just submerged	none
G73505_1x_10ul_RB4_01_18621.mzXML	coffee	11442.G73505	seattle's best coffee	Coffee_regular_NS_as_to_ground_or_instant	complex	beverage	land	plant	fruit	fleshy fruit	berry	coffee	coffee	non-alcoholic	non-carbonated	coffee	coffee	not applicable	beverage	yes	no	yes	no	no	processed	processed	yes	no	not applicable	processed	not applicable	Coffea	Coffea sp.	fruit	Rubiaceae	not applicable	6/28/17 7:39	4/19/18	193	USA:CA:San Diego	San Diego:home	32.842	-117.258	USA	WA	store	not collected	store	Seattle's best	coffee	not collected	not collected	not collected	not collected	not collected	not collected	host-associated	plant	plant-corpus	no	not applicable	no	not applicable	no	no	non_superfood	no	not applicable	not applicable	yes	not applicable	not applicable	not applicable	no	not applicable	liquid	not collected	not applicable	not applicable	not entered	y	not applicable	not applicable	no	no	not collected	92100500	not collected	not collected	aluminum / foil	foil bag	none	none
G73509_1x_2ul_RC5_01_20709.mzXML	soda	11442.G73509	diet coke	Soft_drink_cola_type_sugar_free	simple	beverage	land	plant	vegetable/herb	vegetable/herb	sugarcane	soda	soda	non-alcoholic	carbonated	soda	soda	American	cold beverage	yes	no	yes	no	no	processed	processed	no	no	not applicable	processed	not applicable	not applicable	not applicable	not applicable	not collected	not applicable	9/10/17 21:06	not collected	193	USA:CA:San Diego	San Diego:home	32.842	-117.258	not collected	not collected	store	not collected	store	coca-cola company	carbonated water	caramel color	aspartame	phosphoric acid	potassium benzoate	natural flavors	citric acid;caffeine	host-associated	plant	plant-corpus	natural flavors;perservative	potassium benzoate;natural flavors	natural	caramel color	yes	aspartame	not applicable	no	not applicable	not applicable	yes	not applicable	not applicable	not applicable	no	not applicable	liquid	not collected	not applicable	not applicable	not entered	y	not applicable	not applicable	no	no	4959403	92410320	not provided	not provided	plastic	not applicable	none	none
G73517_1x_10ul_RB2_01_19783.mzXML	milk_cow	11442.G73517	cow milk, local, not pasteurized, etc. ; 2 day old	Milk_cows_fluid_whole	simple	beverage	land	animal	animal	dairy	milk	milk_cow	milk_cow	non-alcoholic	non-carbonated	milk	milk	not applicable	beverage	no	yes	yes	non GMO	yes	not applicable	not applicable	no	no	not applicable	raw	raw	not applicable	not applicable	not applicable	not collected	not applicable	9/26/17 0:00	not collected	193	USA:CA:San Diego	UCSD:Dorrestein Lab	32.842	-117.258	USA	CA	local farmer	homegrown	self	unbranded	milk	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	host-associated	animal	animal-secretion	no	not applicable	no	not applicable	no	no	non_superfood	no	cow	milk	no	not applicable	not applicable	not applicable	no	not applicable	liquid	not applicable 	not applicable	not applicable	not entered	y	not applicable	not applicable	no	yes	not applicable	11111000	not applicable	not applicable	plastic	tupperware	none	none
G73518_1x_10ul_RC3_01_19802.mzXML	milk_goat	11442.G73518	goat milk, local, not pasteurized, etc. ; 2 day old	Milk_goats_fluid_whole	simple	beverage	land	animal	animal	dairy	milk	milk_goat	milk_goat	non-alcoholic	non-carbonated	milk	milk	not applicable	beverage	no	yes	yes	non GMO	yes	not applicable	not applicable	no	no	not applicable	raw	raw	not applicable	not applicable	not applicable	not collected	not applicable	9/26/17 0:00	not collected	193	USA:CA:San Diego	UCSD:Dorrestein Lab	32.842	-117.258	USA	CA	local farmer	homegrown	self	unbranded	milk	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	host-associated	animal	animal-secretion	no	not applicable	no	not applicable	no	no	non_superfood	no	goat	milk	no	not applicable	not applicable	not applicable	no	not applicable	liquid	not applicable 	not applicable	not applicable	not entered	y	not applicable	not applicable	no	yes	not applicable	11116000	not applicable	not applicable	plastic	tupperware	none	none
G73519_1x_RG11_01_18588.mzXML	grain_fermented	11442.G73519	Marzen/Octoberfest-style ale grain mixture, liquid extract	Grain_mixture_only_brewing	complex	beverage	land	plant	fruit	grain/grass	grain/grass	grain_fermented	complex	non-alcoholic	non-carbonated	beer	liquid grain extract	German	not applicable	yes	no	no	no	yes	steeped	heat applied	no	no	not applicable	processed	raw	not applicable	not applicable	not applicable	not collected	not applicable	9/3/17 0:00	not applicable	193	USA:CA:San Diego	San Diego:home	32.842	-117.258	USA	CA	home kitchen	homemade	store	Ballast Point	malt	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	host-associated	plant	plant-corpus	not collected	not provided	no	no	no	no	not applicable	not applicable	not applicable	not applicable	no	not applicable	not applicable	not applicable	no	not applicable	liquid	not applicable	not applicable	not applicable	not entered	y	not applicable	not applicable	no	no	not applicable	57808000	not applicable	not applicable	metal	not collected	not collected	ingredients from Ballast Point Brew Mart
G73520_1x_RH11_01_18605.mzXML	grain_fermented	11442.G73520	Pumpkin ale grain mixture, liquid extract	Grain_mixture_only_brewing	complex	beverage	land	plant	fruit	grain/grass	grain/grass	grain_fermented	complex	non-alcoholic	non-carbonated	beer	liquid grain extract	American	not applicable	yes	no	no	no	yes	steeped	heat applied	no	no	not applicable	processed	raw	not applicable	not applicable	not applicable	not collected	not applicable	9/3/17 0:00	not applicable	193	USA:CA:San Diego	San Diego:home	32.842	-117.258	USA	not collected	home kitchen	homemade	store	Ballast Point	malt	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	host-associated	plant	plant-corpus	not collected	not provided	no	no	no	no	not applicable	not applicable	not applicable	not applicable	no	not applicable	not applicable	not applicable	no	not applicable	liquid	not applicable	not applicable	not applicable	not entered	y	not applicable	not applicable	no	no	not applicable	57808000	not applicable	not applicable	metal	not collected	not collected	ingredients from Ballast Point Brew Mart
G73522_1x_RF6_01_18571.mzXML	kombucha	11442.G73522	white peach kombucha - origonic tonic	beverage_nondairy_fermented_tea_flavored	complex	beverage	land	plant	vegetable/herb	vegetable/herb	tea/infusion	kombucha	kombucha	non-alcoholic	carbonated	kombucha	kombucha	not applicable	fermented drink	yes	yes	yes	no	no	fermented	carbonated / fermented	yes	yes	kombucha cultures	processed	not applicable	Camellia	Camellia sp.	leaf	Theaceae	not applicable	9/2/17 11:58	not applicable	193	USA:CA:San Diego	Oregon	32.842	-117.258	USA	OR	Fermentation Festival	Oregon Fermentation Festival 	restaurant	Oregonic Tonic	peach white tea	evaporated cane juice	scoby	not applicable	not applicable	not applicable	not applicable	host-associated	plant	plant-corpus	no	not applicable	no	not applicable	yes	evaporated cane juice	non_superfood	no	not applicable	not applicable	yes	not applicable	not applicable	not applicable	no	not applicable	liquid	not collected	not applicable	not applicable	not entered	y	not applicable	not applicable	no	no	86624900139	96110000	not collected	not collected	glass	glass bottle	none	none
G73523_1x_RD7_01_18544.mzXML	kombucha	11442.G73523	ginger kombucha - origonic tonic	beverage_nondairy_fermented_tea_flavored	complex	beverage	land	plant	vegetable/herb	vegetable/herb	tea/infusion	kombucha	kombucha	non-alcoholic	carbonated	kombucha	kombucha	not applicable	fermented drink	yes	yes	yes	no	no	fermented	carbonated / fermented	yes	yes	kombucha cultures	processed	not applicable	Camellia	Camellia sp.	leaf	Theaceae	not applicable	9/2/17 11:58	not collected	193	USA:CA:San Diego	Oregon	32.842	-117.258	USA	OR	Fermentation Festival	Oregon Fermentation Festival 	restaurant	Oregonic Tonic	chunmee green tea	evaporated cane juice	ginger	scoby	not applicable	not applicable	not applicable	host-associated	plant	plant-corpus	no	not applicable	no	not applicable	yes	evaporated cane juice	non_superfood	no	not applicable	not applicable	yes	not applicable	not applicable	not applicable	no	not applicable	liquid	not collected	not applicable	not applicable	not entered	y	not applicable	not applicable	no	no	not collected	96110000	not applicable	not applicable	glass	glass bottle	none	none
G73524_1x_RG7_01_18584.mzXML	kombucha	11442.G73524	hibiscus blood orange kombucha - origonic tonic	beverage_nondairy_fermented_tea_flavored	complex	beverage	land	plant	vegetable/herb	vegetable/herb	tea/infusion	kombucha	kombucha	non-alcoholic	carbonated	kombucha	kombucha	not applicable	fermented drink	yes	yes	yes	no	no	fermented	carbonated / fermented	yes	yes	kombucha cultures	processed	not applicable	Camellia	Camellia sp.	leaf	Theaceae	not applicable	9/2/17 11:58	not collected	193	USA:CA:San Diego	Oregon	32.842	-117.258	USA	OR	Fermentation Festival	Oregon Fermentation Festival 	restaurant	Oregonic Tonic	hibiscus black tea	blood orange tea	evaporated cane juice	scoby	not applicable	not applicable	not applicable	host-associated	plant	plant-corpus	no	not applicable	no	not applicable	yes	evaporated cane juice	non_superfood	no	not applicable	not applicable	yes	not applicable	not applicable	not applicable	no	not applicable	liquid	not collected	not applicable	not applicable	not entered	y	not applicable	not applicable	no	no	not collected	96110000	not collected	not collected	glass	glass bottle	none	none
G73525_1x_10ul_RC11_01_18537.mzXML	kombucha	11442.G73525	Brew Dr. kombucha Happiness flavor	beverage_nondairy_fermented_tea_flavored	complex	beverage	land	plant	vegetable/herb	vegetable/herb	tea/infusion	kombucha	kombucha	non-alcoholic	carbonated	kombucha	kombucha	not applicable	fermented drink	yes	yes	yes	no	no	fermented	carbonated / fermented	yes	yes	kombucha cultures	processed	not applicable	Camellia	Camellia sp.	leaf	Theaceae	not applicable	9/14/17 0:00	4/28/18	193	USA:CA:San Diego	Oregon	32.842	-117.258	China	not applicable	Fermentation Festival	Oregon Fermentation Festival 	restaurant	Brew Dr. Kombucha	filtered water	organic white tea	organic cane sugar	organic rose	live probiotic culture	not applicable	not applicable	host-associated	plant	plant-corpus	no	not applicable	no	not applicable	yes	cane sugar	non_superfood	no	not applicable	not applicable	yes	not applicable	not applicable	not applicable	no	not applicable	liquid	not collected	not applicable	not applicable	not entered	y	not applicable	not applicable	no	no	8.51E+11	96110000	not collected	not collected	glass	glass bottle	none	none
G73532_1x_BH12_01_20278.mzXML	plant	11442.G73532	Spices in oil for filet mignon	Other_vegetables_spices_mix_NFS	complex	food	land	plant	complex	complex	complex	complex	complex	not applicable	not applicable	not applicable	spices	not applicable	seasoning	yes	no	yes	no	yes	refined	refined	no	no	not applicable	processed	not applicable	not applicable	not applicable	not applicable	not collected	not applicable	9/3/17 0:00	not collected	193	USA:CA:San Diego	San Diego:home	32.842	-117.258	not collected	not collected	store	Ralphs	store	not applicable	pepper	cayenne	salt	Worchestershire Sauce	not collected	not collected	not collected	host-associated	plant	plant-corpus	not applicable	not applicable	no	no	no	no	not applicable	not applicable	not applicable	not applicable	no	not applicable	not applicable	not applicable	no	not applicable	solid	smooth	not applicable	not applicable	not entered	y	not applicable	not applicable	no	no	not applicable	75250000	not applicable	not applicable	plastic	not collected	spices old	none
G73634_5x_RB7_01_19479.mzXML	plant	11442.G73634	seitan	Meat_substitute_cereal_and_vegetable_protein_based_fried	complex	food	land	plant	complex	complex	complex	complex	complex	not applicable	not applicable	not applicable	meat substitute	vegan	meat substitute	yes	no	no	non GMO	no	processed	processed	yes	no	not applicable	processed	not applicable	not applicable	not applicable	not applicable	not collected	not applicable	7/20/17 9:43	8/28/17	193	USA:CA:San Diego	San Diego:home	32.842	-117.258	USA	CA	store	not collected	store	Sweet Earth Natural Foods	water	vital wheat gluten	non-GMO soy sauce	garlic	ginger	kombu	water;soybeans;wheat;salt;organic alcohol	host-associated	plant	plant-corpus	no	not applicable	not applicable	not applicable	no	no	not applicable	meat	not applicable	not applicable	no	not applicable	not applicable	not applicable	no	not applicable	solid	not applicable	not applicable	not applicable	not entered	y	not applicable	not applicable	no	no	94922221490	59003000	not collected	not collected	plastic	not collected	shrink wrapped plastic	none
